id beforeDepartHour duringMinutes arrWeather depCountryCode arrCountryCode classify
1 2~6 1~300 * CN JP 5bffaec57ad3af4fc98e0cf6
2 2~6 300~600 * CN JP 5bffaec57ad3af4fc98e0cf6
3 2~6 600~999 * CN JP 5bffaec57ad3af4fc98e0cf6
4 6~144 1~300 * CN JP 5bffaec57ad3af4fc98e0cf6
5 6~144 300~600 * CN JP 5bffaec57ad3af4fc98e0cf6
6 6~144 600~999 * CN JP 5bffaec57ad3af4fc98e0cf6
7 144~99999 1~300 * CN JP 5bffaec57ad3af4fc98e0cf6
8 144~99999 300~600 * CN JP 5bffaec57ad3af4fc98e0cf6
9 144~99999 600~999 * CN JP 5bffaec57ad3af4fc98e0cf6
10 2~6 1~300 雨 CN JP 5bffaec57ad3af4fc98e0cf6
11 2~6 300~600 雨 CN JP 5bffaec57ad3af4fc98e0cf6
12 2~6 600~999 雨 CN JP 5bffaec57ad3af4fc98e0cf6
13 6~144 1~300 雨 CN JP 5bffaec57ad3af4fc98e0cf6
14 6~144 300~600 雨 CN JP 5bffaec57ad3af4fc98e0cf6
15 6~144 600~999 雨 CN JP 5bffaec57ad3af4fc98e0cf6
16 144~99999 1~300 雨 CN JP 5bffaec57ad3af4fc98e0cf6
17 144~99999 300~600 雨 CN JP 5bffaec57ad3af4fc98e0cf6
18 144~99999 600~999 雨 CN JP 5bffaec57ad3af4fc98e0cf6
19 2~6 1~300 雪 CN JP 5bffaec57ad3af4fc98e0cf6
20 2~6 300~600 雪 CN JP 5bffaec57ad3af4fc98e0cf6
21 2~6 600~999 雪 CN JP 5bffaec57ad3af4fc98e0cf6
22 6~144 1~300 雪 CN JP 5bffaec57ad3af4fc98e0cf6
23 6~144 300~600 雪 CN JP 5bffaec57ad3af4fc98e0cf6
24 6~144 600~999 雪 CN JP 5bffaec57ad3af4fc98e0cf6
25 144~99999 1~300 雪 CN JP 5bffaec57ad3af4fc98e0cf6
26 144~99999 300~600 雪 CN JP 5bffaec57ad3af4fc98e0cf6
27 144~99999 600~999 雪 CN JP 5bffaec57ad3af4fc98e0cf6
28 2~6 1~300 * CN KR 5bffaec57ad3af4fc98e0cf6
29 2~6 300~600 * CN KR 5bffaec57ad3af4fc98e0cf6
30 2~6 600~999 * CN KR 5bffaec57ad3af4fc98e0cf6
31 6~144 1~300 * CN KR 5bffaec57ad3af4fc98e0cf6
32 6~144 300~600 * CN KR 5bffaec57ad3af4fc98e0cf6
33 6~144 600~999 * CN KR 5bffaec57ad3af4fc98e0cf6
34 144~99999 1~300 * CN KR 5bffaec57ad3af4fc98e0cf6
35 144~99999 300~600 * CN KR 5bffaec57ad3af4fc98e0cf6
36 144~99999 600~999 * CN KR 5bffaec57ad3af4fc98e0cf6
37 2~6 1~300 雨 CN KR 5bffaec57ad3af4fc98e0cf6
38 2~6 300~600 雨 CN KR 5bffaec57ad3af4fc98e0cf6
39 2~6 600~999 雨 CN KR 5bffaec57ad3af4fc98e0cf6
40 6~144 1~300 雨 CN KR 5bffaec57ad3af4fc98e0cf6
41 6~144 300~600 雨 CN KR 5bffaec57ad3af4fc98e0cf6
42 6~144 600~999 雨 CN KR 5bffaec57ad3af4fc98e0cf6
43 144~99999 1~300 雨 CN KR 5bffaec57ad3af4fc98e0cf6
44 144~99999 300~600 雨 CN KR 5bffaec57ad3af4fc98e0cf6
45 144~99999 600~999 雨 CN KR 5bffaec57ad3af4fc98e0cf6
46 2~6 1~300 雪 CN KR 5bffaec57ad3af4fc98e0cf6
47 2~6 300~600 雪 CN KR 5bffaec57ad3af4fc98e0cf6
48 2~6 600~999 雪 CN KR 5bffaec57ad3af4fc98e0cf6
49 6~144 1~300 雪 CN KR 5bffaec57ad3af4fc98e0cf6
50 6~144 300~600 雪 CN KR 5bffaec57ad3af4fc98e0cf6
51 6~144 600~999 雪 CN KR 5bffaec57ad3af4fc98e0cf6
52 144~99999 1~300 雪 CN KR 5bffaec57ad3af4fc98e0cf6
53 144~99999 300~600 雪 CN KR 5bffaec57ad3af4fc98e0cf6
54 144~99999 600~999 雪 CN KR 5bffaec57ad3af4fc98e0cf6
55 2~6 1~300 * CN US 5bffaec57ad3af4fc98e0cf6
56 2~6 300~600 * CN US 5bffaec57ad3af4fc98e0cf6
57 2~6 600~999 * CN US 5bffaec57ad3af4fc98e0cf6
58 6~144 1~300 * CN US 5bffaec57ad3af4fc98e0cf6
59 6~144 300~600 * CN US 5bffaec57ad3af4fc98e0cf6
60 6~144 600~999 * CN US 5bffaec57ad3af4fc98e0cf6
61 144~99999 1~300 * CN US 5bffaec57ad3af4fc98e0cf6
62 144~99999 300~600 * CN US 5bffaec57ad3af4fc98e0cf6
63 144~99999 600~999 * CN US 5bffaec57ad3af4fc98e0cf6
64 2~6 1~300 雨 CN US 5bffaec57ad3af4fc98e0cf6
65 2~6 300~600 雨 CN US 5bffaec57ad3af4fc98e0cf6
66 2~6 600~999 雨 CN US 5bffaec57ad3af4fc98e0cf6
67 6~144 1~300 雨 CN US 5bffaec57ad3af4fc98e0cf6
68 6~144 300~600 雨 CN US 5bffaec57ad3af4fc98e0cf6
69 6~144 600~999 雨 CN US 5bffaec57ad3af4fc98e0cf6
70 144~99999 1~300 雨 CN US 5bffaec57ad3af4fc98e0cf6
71 144~99999 300~600 雨 CN US 5bffaec57ad3af4fc98e0cf6
72 144~99999 600~999 雨 CN US 5bffaec57ad3af4fc98e0cf6
73 2~6 1~300 雪 CN US 5bffaec57ad3af4fc98e0cf6
74 2~6 300~600 雪 CN US 5bffaec57ad3af4fc98e0cf6
75 2~6 600~999 雪 CN US 5bffaec57ad3af4fc98e0cf6
76 6~144 1~300 雪 CN US 5bffaec57ad3af4fc98e0cf6
77 6~144 300~600 雪 CN US 5bffaec57ad3af4fc98e0cf6
78 6~144 600~999 雪 CN US 5bffaec57ad3af4fc98e0cf6
79 144~99999 1~300 雪 CN US 5bffaec57ad3af4fc98e0cf6
80 144~99999 300~600 雪 CN US 5bffaec57ad3af4fc98e0cf6
81 144~99999 600~999 雪 CN US 5bffaec57ad3af4fc98e0cf6
82 2~6 0~1 雨 CN JP 5bffaec57ad3af4fc98e0cf7
83 2~6 0~1 雨 CN KR 5bffaec57ad3af4fc98e0cf7
84 2~6 0~1 雨 CN US 5bffaec57ad3af4fc98e0cf7
85 2~6 0~1 雨 CN * 5bffaec57ad3af4fc98e0cf7
86 2~6 0~1 雨 CN CN 5bffaec57ad3af4fc98e0cf7
87 2~6 1~300 雨 CN JP 5bffaec57ad3af4fc98e0cf7
88 2~6 1~300 雨 CN KR 5bffaec57ad3af4fc98e0cf7
89 2~6 1~300 雨 CN US 5bffaec57ad3af4fc98e0cf7
90 2~6 1~300 雨 CN * 5bffaec57ad3af4fc98e0cf7
91 2~6 1~300 雨 CN CN 5bffaec57ad3af4fc98e0cf7
92 2~6 300~600 雨 CN JP 5bffaec57ad3af4fc98e0cf7
93 2~6 300~600 雨 CN KR 5bffaec57ad3af4fc98e0cf7
94 2~6 300~600 雨 CN US 5bffaec57ad3af4fc98e0cf7
95 2~6 300~600 雨 CN * 5bffaec57ad3af4fc98e0cf7
96 2~6 300~600 雨 CN CN 5bffaec57ad3af4fc98e0cf7
97 6~144 0~1 雨 CN JP 5bffaec57ad3af4fc98e0cf7
98 6~144 0~1 雨 CN KR 5bffaec57ad3af4fc98e0cf7
99 6~144 0~1 雨 CN US 5bffaec57ad3af4fc98e0cf7
100 6~144 0~1 雨 CN * 5bffaec57ad3af4fc98e0cf7
101 6~144 0~1 雨 CN CN 5bffaec57ad3af4fc98e0cf7
102 6~144 1~300 雨 CN JP 5bffaec57ad3af4fc98e0cf7
103 6~144 1~300 雨 CN KR 5bffaec57ad3af4fc98e0cf7
104 6~144 1~300 雨 CN US 5bffaec57ad3af4fc98e0cf7
105 6~144 1~300 雨 CN * 5bffaec57ad3af4fc98e0cf7
106 6~144 1~300 雨 CN CN 5bffaec57ad3af4fc98e0cf7
107 6~144 300~600 雨 CN JP 5bffaec57ad3af4fc98e0cf7
108 6~144 300~600 雨 CN KR 5bffaec57ad3af4fc98e0cf7
109 6~144 300~600 雨 CN US 5bffaec57ad3af4fc98e0cf7
110 6~144 300~600 雨 CN * 5bffaec57ad3af4fc98e0cf7
111 6~144 300~600 雨 CN CN 5bffaec57ad3af4fc98e0cf7
112 144~99999 0~1 雨 CN JP 5bffaec57ad3af4fc98e0cf7
113 144~99999 0~1 雨 CN KR 5bffaec57ad3af4fc98e0cf7
114 144~99999 0~1 雨 CN US 5bffaec57ad3af4fc98e0cf7
115 144~99999 0~1 雨 CN * 5bffaec57ad3af4fc98e0cf7
116 144~99999 0~1 雨 CN CN 5bffaec57ad3af4fc98e0cf7
117 144~99999 1~300 雨 CN JP 5bffaec57ad3af4fc98e0cf7
