num  isNewUserForCar  isNewUserForOnePrice  userType  flyIntervalDayRange  cityCode  airportCode  airportTerminal  depTimeRange  arrTimeRange  isInterFlight  tripType  id
1  0  -1  -1  0  BJS  *  *  *  *  0  1  A1
2  0  -1  -1  0  BJS  *  *  *  *  0  2  A2
3  0  -1  -1  0  SHA  *  *  *  *  0  1  A3
4  0  -1  -1  0  SHA  *  *  *  *  0  2  A4
5  0  -1  -1  0  CAN  *  *  *  *  0  1  A5
6  0  -1  -1  0  CAN  *  *  *  *  0  2  A6
7  0  -1  -1  0  SZX  *  *  *  *  0  1  A7
8  0  -1  -1  0  SZX  *  *  *  *  0  2  A8
9  0  -1  -1  0  WUH  *  *  *  *  0  1  A9
10  0  -1  -1  0  WUH  *  *  *  *  0  2  A10
11  0  -1  -1  0  HGH  *  *  *  *  0  1  A11
12  0  -1  -1  0  HGH  *  *  *  *  0  2  A12
13  0  -1  -1  0  FOK  *  *  *  *  0  1  A13
14  0  -1  -1  0  FOK  *  *  *  *  0  2  A14
15  0  -1  -1  0  CTU  *  *  *  *  0  1  A15
16  0  -1  -1  0  CTU  *  *  *  *  0  2  A16
17  0  -1  -1  0  TNA  *  *  *  *  0  1  A17
18  0  -1  -1  0  TNA  *  *  *  *  0  2  A18
19  0  -1  -1  0  TAO  *  *  *  *  0  1  A19
20  0  -1  -1  0  TAO  *  *  *  *  0  2  A20
21  0  -1  -1  0  TSN  *  *  *  *  0  1  A21
22  0  -1  -1  0  TSN  *  *  *  *  0  2  A22
23  0  -1  -1  0  CKG  *  *  *  *  0  1  A23
24  0  -1  -1  0  CKG  *  *  *  *  0  2  A24
25  0  -1  -1  0  CSX  *  *  *  *  0  1  A25
26  0  -1  -1  0  CSX  *  *  *  *  0  2  A26
27  0  -1  -1  0  HAK  *  *  *  *  0  1  A27
28  0  -1  -1  0  HAK  *  *  *  *  0  2  A28
29  0  -1  -1  0  SYX  *  *  *  *  0  1  A29
30  0  -1  -1  0  SYX  *  *  *  *  0  2  A30
31  0  -1  -1  0  TYN  *  *  *  *  0  1  A31
32  0  -1  -1  0  TYN  *  *  *  *  0  2  A32
33  0  -1  -1  0  SHE  *  *  *  *  0  1  A33
34  0  -1  -1  0  SHE  *  *  *  *  0  2  A34
35  0  -1  -1  0  KWL  *  *  *  *  0  1  A35
36  0  -1  -1  0  KWL  *  *  *  *  0  2  A36
37  0  -1  -1  0  KWE  *  *  *  *  0  1  A37
38  0  -1  -1  0  KWE  *  *  *  *  0  2  A38
39  0  -1  -1  0  ZUH  *  *  *  *  0  1  A39
40  0  -1  -1  0  ZUH  *  *  *  *  0  2  A40
41  0  -1  -1  0  NKG  *  *  *  *  0  1  A41
42  0  -1  -1  0  NKG  *  *  *  *  0  2  A42
43  0  -1  -1  0  CGQ  *  *  *  *  0  1  A43
44  0  -1  -1  0  CGQ  *  *  *  *  0  2  A44
45  0  -1  -1  0  CGO  *  *  *  *  0  1  A45
46  0  -1  -1  0  CGO  *  *  *  *  0  2  A46
47  0  -1  -1  0  XMN  *  *  *  *  0  1  A47
48  0  -1  -1  0  XMN  *  *  *  *  0  2  A48
49  0  -1  -1  0  HFE  *  *  *  *  0  1  A49
50  0  -1  -1  0  HFE  *  *  *  *  0  2  A50
51  0  -1  -1  0  KMG  *  *  *  *  0  1  A51
52  0  -1  -1  0  KMG  *  *  *  *  0  2  A52
53  0  -1  -1  0  DLC  *  *  *  *  0  1  A53
54  0  -1  -1  0  DLC  *  *  *  *  0  2  A54
55  0  -1  -1  0  NGB  *  *  *  *  0  1  A55
56  0  -1  -1  0  NGB  *  *  *  *  0  2  A56
57  0  -1  -1  0  WNZ  *  *  *  *  0  1  A57
58  0  -1  -1  0  WNZ  *  *  *  *  0  2  A58
59  0  -1  -1  0  FOC  *  *  *  *  0  1  A59
60  0  -1  -1  0  FOC  *  *  *  *  0  2  A60
61  0  -1  -1  0  JJN  *  *  *  *  0  1  A61
62  0  -1  -1  0  JJN  *  *  *  *  0  2  A62
63  0  -1  -1  0  WEH  *  *  *  *  0  1  A63
64  0  -1  -1  0  WEH  *  *  *  *  0  2  A64
65  0  -1  -1  0  LYA  *  *  *  *  0  1  A65
66  0  -1  -1  0  LYA  *  *  *  *  0  2  A66
67  0  -1  -1  0  NNG  *  *  *  *  0  1  A67
68  0  -1  -1  0  NNG  *  *  *  *  0  2  A68
69  0  -1  -1  0  SJW  *  *  *  *  0  1  A69
70  0  -1  -1  0  SJW  *  *  *  *  0  2  A70
71  0  -1  -1  0  HRB  *  *  *  *  0  1  A71
72  0  -1  -1  0  HRB  *  *  *  *  0  2  A72
73  0  -1  -1  0  HET  *  *  *  *  0  1  A73
74  0  -1  -1  0  HET  *  *  *  *  0  2  A74
75  0  -1  -1  0  *  *  *  *  *  0  1  A75
76  0  -1  -1  0  BAV  *  *  *  *  0  1  A76
77  0  -1  -1  0  BAV  *  *  *  *  0  2  A77
78  0  -1  -1  0  HLD  *  *  *  *  0  1  A78
79  0  -1  -1  0  HLD  *  *  *  *  0  2  A79
80  0  -1  -1  0  *  *  *  *  *  0  2  A80
81  0  -1  -1  0  APG  *  *  *  *  0  1  A81
82  0  -1  -1  0  APG  *  *  *  *  0  2  A82
83  0  -1  -1  0  URC  *  *  *  *  0  1  A83
84  0  -1  -1  0  URC  *  *  *  *  0  2  A84
85  0  -1  -1  0  KHN  *  *  *  *  0  1  A85
86  0  -1  -1  0  KHN  *  *  *  *  0  2  A86
87  0  -1  -1  0  HYN  *  *  *  *  0  1  A87
88  0  -1  -1  0  HYN  *  *  *  *  0  2  A88
89  0  -1  -1  0  FUO  *  *  *  *  0  1  A89
90  0  -1  -1  0  LJG  *  *  *  *  0  1  A90
91  0  -1  -1  0  WUX  *  *  *  *  0  1  A91
92  0  -1  -1  0  WUX  *  *  *  *  0  2  A92
93  0  -1  -1  0  XNN  *  *  *  *  0  1  A93
94  0  -1  -1  0  XNN  *  *  *  *  0  2  A94
95  0  -1  -1  0  INC  *  *  *  *  0  1  A95
96  0  -1  -1  0  INC  *  *  *  *  0  2  A96
97  0  -1  -1  0  LZH  *  *  *  *  0  1  A97
98  0  -1  -1  0  LZH  *  *  *  *  0  2  A98
99  0  -1  -1  0  DNH  *  *  *  *  0  1  A99
100  0  -1  -1  0  DNH  *  *  *  *  0  2  A100
101  0  -1  -1  0  YIN  *  *  *  *  0  1  A101
102  0  -1  -1  0  YIN  *  *  *  *  0  2  A102
103  0  -1  -1  0  ARU  *  *  *  *  0  1  A103
104  0  -1  -1  0  ARU  *  *  *  *  0  2  A104
105  0  -1  -1  0  CZX  *  *  *  *  0  1  A105
106  0  -1  -1  0  CZX  *  *  *  *  0  2  A106
107  0  -1  -1  0  *  *  *  *  *  0  2  A107
108  0  -1  -1  0  NTG  *  *  *  *  0  1  A108
109  0  -1  -1  0  NTG  *  *  *  *  0  2  A109
110  0  -1  -1  0  XUZ  *  *  *  *  0  1  A110
111  0  -1  -1  0  XUZ  *  *  *  *  0  2  A111
112  0  -1  -1  0  JZH  *  *  *  *  0  1  A112
113  0  -1  -1  0  MIG  *  *  *  *  0  1  A113
114  0  -1  -1  0  MIG  *  *  *  *  0  2  A114
115  0  -1  -1  0  DLU  *  *  *  *  0  1  A115
116  0  -1  -1  0  UYN  *  *  *  *  0  1  A116
117  0  -1  -1  0  BHY  *  *  *  *  0  1  A117
118  0  -1  -1  0  BHY  *  *  *  *  0  2  A118
119  0  -1  -1  0  DSN  *  *  *  *  0  1  A119
120  0  -1  -1  0  DSN  *  *  *  *  0  2  A120
121  0  -1  -1  0  *  *  *  *  *  0  2  A121
122  0  -1  -1  0  YIW  *  *  *  *  0  1  A122
123  0  -1  -1  0  YIW  *  *  *  *  0  2  A123
124  0  -1  -1  0  *  *  *  *  *  0  1  A124
125  0  -1  -1  0  *  *  *  *  *  0  2  A125
126  0  -1  -1  0  *  *  *  *  *  0  1  A126
127  0  -1  -1  0  *  *  *  *  *  0  2  A127
128  0  -1  -1  0  SWA  *  *  *  *  0  1  A128
129  0  -1  -1  0  SWA  *  *  *  *  0  2  A129
130  0  -1  -1  0  *  *  *  *  *  0  2  A130
131  0  -1  -1  0  HNY  *  *  *  *  0  1  A131
132  0  -1  -1  0  HNY  *  *  *  *  0  2  A132
133  0  -1  -1  0  *  *  *  *  *  0  2  A133
134  0  -1  -1  0  *  *  *  *  *  0  2  A134
135  0  -1  -1  0  WUZ  *  *  *  *  0  1  A135
136  0  -1  -1  0  WUZ  *  *  *  *  0  2  A136
137  0  -1  -1  0  TXN  *  *  *  *  0  1  A137
138  0  -1  -1  0  TXN  *  *  *  *  0  2  A138
139  0  -1  -1  0  BFU  *  *  *  *  0  2  A139
140  0  -1  -1  0  *  *  *  *  *  0  2  A140
141  0  -1  -1  0  *  *  *  *  *  0  2  A141
142  0  -1  -1  0  *  *  *  *  *  0  2  A142
143  0  -1  -1  0  *  *  *  *  *  0  2  A143
144  0  -1  -1  0  YNT  *  *  *  *  0  1  A144
145  0  -1  -1  0  YNT  *  *  *  *  0  2  A145
146  0  -1  -1  0  *  *  *  *  *  0  2  A146
147  0  -1  -1  0  *  *  *  *  *  0  2  A147
148  0  -1  -1  0  *  *  *  *  *  0  2  A148
149  0  -1  -1  0  KOW  *  *  *  *  0  1  A149
150  0  -1  -1  0  KOW  *  *  *  *  0  2  A150
151  0  -1  -1  0  JIU  *  *  *  *  0  2  A151
152  0  -1  -1  0  *  *  *  *  *  0  2  A152
153  0  -1  -1  0  *  *  *  *  *  0  2  A153
154  0  -1  -1  0  HUZ  *  *  *  *  0  1  A154
155  0  -1  -1  0  HUZ  *  *  *  *  0  2  A155
156  0  -1  -1  0  *  *  *  *  *  0  2  A156
157  0  -1  -1  0  *  *  *  *  *  0  2  A157
158  0  -1  -1  0  RSU  *  *  *  *  0  2  A158
159  0  -1  -1  0  JUZ  *  *  *  *  0  2  A159
160  0  -1  -1  0  *  *  *  *  *  0  2  A160
161  0  -1  -1  0  *  *  *  *  *  0  2  A161
162  0  -1  -1  0  *  *  *  *  *  0  2  A162
163  0  -1  -1  0  FUG  *  *  *  *  0  1  A163
164  0  -1  -1  0  FUG  *  *  *  *  0  2  A164
165  0  -1  -1  0  *  *  *  *  *  0  2  A165
166  0  -1  -1  0  WEF  *  *  *  *  0  2  A166
167  0  -1  -1  0  *  *  *  *  *  0  2  A167
168  0  -1  -1  0  *  *  *  *  *  0  2  A168
169  0  -1  -1  0  YTY  *  *  *  *  0  1  A169
170  0  -1  -1  0  YTY  *  *  *  *  0  2  A170
171  0  -1  -1  0  *  *  *  *  *  0  2  A171
172  0  -1  -1  0  ENE  *  *  *  *  0  2  A172
173  0  -1  -1  0  SHS  *  *  *  *  0  2  A173
174  0  -1  -1  0  *  *  *  *  *  0  2  A174
175  0  -1  -1  0  XFN  *  *  *  *  0  2  A175
176  0  -1  -1  0  *  *  *  *  *  0  2  A176
177  0  -1  -1  0  *  *  *  *  *  0  2  A177
178  0  -1  -1  0  *  *  *  *  *  0  2  A178
179  0  -1  -1  0  *  *  *  *  *  0  2  A179
180  0  -1  -1  0  *  *  *  *  *  0  1  A180
181  0  -1  -1  0  *  *  *  *  *  0  2  A181
182  0  -1  -1  0  *  *  *  *  *  0  2  A182
183  0  -1  -1  0  *  *  *  *  *  0  2  A183
184  0  -1  -1  0  *  *  *  *  *  0  2  A184
185  0  -1  -1  0  WYS  *  *  *  *  0  2  A185
186  0  -1  -1  0  *  *  *  *  *  0  1  A186
187  0  -1  -1  0  *  *  *  *  *  0  2  A187
188  0  -1  -1  0  AQG  *  *  *  *  0  1  A188
189  0  -1  -1  0  AQG  *  *  *  *  0  2  A189
190  0  -1  -1  0  *  *  *  *  *  0  2  A190
191  0  -1  -1  0  *  *  *  *  *  0  2  A191
192  0  -1  -1  0  *  *  *  *  *  0  2  A192
193  0  -1  -1  0  *  *  *  *  *  0  2  A193
194  0  -1  -1  0  *  *  *  *  *  0  2  A194
195  0  -1  -1  0  HJJ  *  *  *  *  0  2  A195
196  0  -1  -1  0  ZGN  *  *  *  *  0  2  A196
197  0  -1  -1  0  *  *  *  *  *  0  2  A197
198  0  -1  -1  0  NNY  *  *  *  *  0  2  A198
199  0  -1  -1  0  ZYI  *  *  *  *  0  1  A199
200  0  -1  -1  0  *  *  *  *  *  0  2  A200
201  0  -1  -1  0  *  *  *  *  *  0  2  A201
202  0  -1  -1  0  WGN  *  *  *  *  0  2  A202
203  0  -1  -1  0  KIR  *  *  *  *  0  2  A203
204  0  -1  -1  0  *  *  *  *  *  0  2  A204
205  0  -1  -1  0  *  *  *  *  *  0  2  A205
206  0  -1  -1  0  *  *  *  *  *  0  2  A206
207  0  -1  -1  0  HZG  *  *  *  *  0  1  A207
208  0  -1  -1  0  HZG  *  *  *  *  0  2  A208
209  0  -1  -1  0  LLF  *  *  *  *  0  2  A209
210  0  -1  -1  0  LZY  *  *  *  *  0  1  A210
211  1  -1  -1  0  BJS  *  *  *  *  0  1  A211
212  1  -1  -1  0  BJS  *  *  *  *  0  2  A212
213  1  -1  -1  0  SHA  *  *  *  *  0  1  A213
214  1  -1  -1  0  SHA  *  *  *  *  0  2  A214
215  1  -1  -1  0  CAN  *  *  *  *  0  1  A215
216  1  -1  -1  0  CAN  *  *  *  *  0  2  A216
217  1  -1  -1  0  SZX  *  *  *  *  0  1  A217
218  1  -1  -1  0  SZX  *  *  *  *  0  2  A218
219  1  -1  -1  0  WUH  *  *  *  *  0  1  A219
220  1  -1  -1  0  WUH  *  *  *  *  0  2  A220
221  1  -1  -1  0  HGH  *  *  *  *  0  1  A221
222  1  -1  -1  0  HGH  *  *  *  *  0  2  A222
223  1  -1  -1  0  FOK  *  *  *  *  0  1  A223
224  1  -1  -1  0  FOK  *  *  *  *  0  2  A224
225  1  -1  -1  0  CTU  *  *  *  *  0  1  A225
226  1  -1  -1  0  CTU  *  *  *  *  0  2  A226
227  1  -1  -1  0  TNA  *  *  *  *  0  1  A227
228  1  -1  -1  0  TNA  *  *  *  *  0  2  A228
229  1  -1  -1  0  TAO  *  *  *  *  0  1  A229
230  1  -1  -1  0  TAO  *  *  *  *  0  2  A230
231  1  -1  -1  0  TSN  *  *  *  *  0  1  A231
232  1  -1  -1  0  TSN  *  *  *  *  0  2  A232
233  1  -1  -1  0  CKG  *  *  *  *  0  1  A233
234  1  -1  -1  0  CKG  *  *  *  *  0  2  A234
235  1  -1  -1  0  CSX  *  *  *  *  0  1  A235
236  1  -1  -1  0  CSX  *  *  *  *  0  2  A236
237  1  -1  -1  0  HAK  *  *  *  *  0  1  A237
238  1  -1  -1  0  HAK  *  *  *  *  0  2  A238
239  1  -1  -1  0  SYX  *  *  *  *  0  1  A239
240  1  -1  -1  0  SYX  *  *  *  *  0  2  A240
241  1  -1  -1  0  TYN  *  *  *  *  0  1  A241
242  1  -1  -1  0  TYN  *  *  *  *  0  2  A242
243  1  -1  -1  0  SHE  *  *  *  *  0  1  A243
244  1  -1  -1  0  SHE  *  *  *  *  0  2  A244
245  1  -1  -1  0  KWL  *  *  *  *  0  1  A245
246  1  -1  -1  0  KWL  *  *  *  *  0  2  A246
247  1  -1  -1  0  KWE  *  *  *  *  0  1  A247
248  1  -1  -1  0  KWE  *  *  *  *  0  2  A248
249  1  -1  -1  0  ZUH  *  *  *  *  0  1  A249
250  1  -1  -1  0  ZUH  *  *  *  *  0  2  A250
251  1  -1  -1  0  NKG  *  *  *  *  0  1  A251
252  1  -1  -1  0  NKG  *  *  *  *  0  2  A252
253  1  -1  -1  0  CGQ  *  *  *  *  0  1  A253
254  1  -1  -1  0  CGQ  *  *  *  *  0  2  A254
255  1  -1  -1  0  CGO  *  *  *  *  0  1  A255
256  1  -1  -1  0  CGO  *  *  *  *  0  2  A256
257  1  -1  -1  0  XMN  *  *  *  *  0  1  A257
258  1  -1  -1  0  XMN  *  *  *  *  0  2  A258
259  1  -1  -1  0  HFE  *  *  *  *  0  1  A259
260  1  -1  -1  0  HFE  *  *  *  *  0  2  A260
261  1  -1  -1  0  KMG  *  *  *  *  0  1  A261
262  1  -1  -1  0  KMG  *  *  *  *  0  2  A262
263  1  -1  -1  0  DLC  *  *  *  *  0  1  A263
264  1  -1  -1  0  DLC  *  *  *  *  0  2  A264
265  1  -1  -1  0  NGB  *  *  *  *  0  1  A265
266  1  -1  -1  0  NGB  *  *  *  *  0  2  A266
267  1  -1  -1  0  WNZ  *  *  *  *  0  1  A267
268  1  -1  -1  0  WNZ  *  *  *  *  0  2  A268
269  1  -1  -1  0  FOC  *  *  *  *  0  1  A269
270  1  -1  -1  0  FOC  *  *  *  *  0  2  A270
271  1  -1  -1  0  JJN  *  *  *  *  0  1  A271
272  1  -1  -1  0  JJN  *  *  *  *  0  2  A272
273  1  -1  -1  0  WEH  *  *  *  *  0  1  A273
274  1  -1  -1  0  WEH  *  *  *  *  0  2  A274
275  1  -1  -1  0  LYA  *  *  *  *  0  1  A275
276  1  -1  -1  0  LYA  *  *  *  *  0  2  A276
277  1  -1  -1  0  NNG  *  *  *  *  0  1  A277
278  1  -1  -1  0  NNG  *  *  *  *  0  2  A278
279  1  -1  -1  0  SJW  *  *  *  *  0  1  A279
280  1  -1  -1  0  SJW  *  *  *  *  0  2  A280
281  1  -1  -1  0  HRB  *  *  *  *  0  1  A281
282  1  -1  -1  0  HRB  *  *  *  *  0  2  A282
283  1  -1  -1  0  HET  *  *  *  *  0  1  A283
284  1  -1  -1  0  HET  *  *  *  *  0  2  A284
285  1  -1  -1  0  *  *  *  *  *  0  1  A285
286  1  -1  -1  0  BAV  *  *  *  *  0  1  A286
287  1  -1  -1  0  BAV  *  *  *  *  0  2  A287
288  1  -1  -1  0  HLD  *  *  *  *  0  1  A288
289  1  -1  -1  0  HLD  *  *  *  *  0  2  A289
290  1  -1  -1  0  *  *  *  *  *  0  2  A290
291  1  -1  -1  0  APG  *  *  *  *  0  1  A291
292  1  -1  -1  0  APG  *  *  *  *  0  2  A292
293  1  -1  -1  0  URC  *  *  *  *  0  1  A293
294  1  -1  -1  0  URC  *  *  *  *  0  2  A294
295  1  -1  -1  0  KHN  *  *  *  *  0  1  A295
296  1  -1  -1  0  KHN  *  *  *  *  0  2  A296
297  1  -1  -1  0  HYN  *  *  *  *  0  1  A297
298  1  -1  -1  0  HYN  *  *  *  *  0  2  A298
299  1  -1  -1  0  FUO  *  *  *  *  0  1  A299
300  1  -1  -1  0  LJG  *  *  *  *  0  1  A300
301  1  -1  -1  0  WUX  *  *  *  *  0  1  A301
302  1  -1  -1  0  WUX  *  *  *  *  0  2  A302
303  1  -1  -1  0  XNN  *  *  *  *  0  1  A303
304  1  -1  -1  0  XNN  *  *  *  *  0  2  A304
305  1  -1  -1  0  INC  *  *  *  *  0  1  A305
306  1  -1  -1  0  INC  *  *  *  *  0  2  A306
307  1  -1  -1  0  LZH  *  *  *  *  0  1  A307
308  1  -1  -1  0  LZH  *  *  *  *  0  2  A308
309  1  -1  -1  0  DNH  *  *  *  *  0  1  A309
310  1  -1  -1  0  DNH  *  *  *  *  0  2  A310
311  1  -1  -1  0  YIN  *  *  *  *  0  1  A311
312  1  -1  -1  0  YIN  *  *  *  *  0  2  A312
313  1  -1  -1  0  ARU  *  *  *  *  0  1  A313
314  1  -1  -1  0  ARU  *  *  *  *  0  2  A314
315  1  -1  -1  0  CZX  *  *  *  *  0  1  A315
316  1  -1  -1  0  CZX  *  *  *  *  0  2  A316
317  1  -1  -1  0  *  *  *  *  *  0  2  A317
318  1  -1  -1  0  NTG  *  *  *  *  0  1  A318
319  1  -1  -1  0  NTG  *  *  *  *  0  2  A319
320  1  -1  -1  0  XUZ  *  *  *  *  0  1  A320
321  1  -1  -1  0  XUZ  *  *  *  *  0  2  A321
322  1  -1  -1  0  JZH  *  *  *  *  0  1  A322
323  1  -1  -1  0  MIG  *  *  *  *  0  1  A323
324  1  -1  -1  0  MIG  *  *  *  *  0  2  A324
325  1  -1  -1  0  DLU  *  *  *  *  0  1  A325
326  1  -1  -1  0  UYN  *  *  *  *  0  1  A326
327  1  -1  -1  0  BHY  *  *  *  *  0  1  A327
328  1  -1  -1  0  BHY  *  *  *  *  0  2  A328
329  1  -1  -1  0  DSN  *  *  *  *  0  1  A329
330  1  -1  -1  0  DSN  *  *  *  *  0  2  A330
331  1  -1  -1  0  *  *  *  *  *  0  2  A331
332  1  -1  -1  0  YIW  *  *  *  *  0  1  A332
333  1  -1  -1  0  YIW  *  *  *  *  0  2  A333
334  1  -1  -1  0  *  *  *  *  *  0  1  A334
335  1  -1  -1  0  *  *  *  *  *  0  2  A335
336  1  -1  -1  0  *  *  *  *  *  0  1  A336
337  1  -1  -1  0  *  *  *  *  *  0  2  A337
338  1  -1  -1  0  SWA  *  *  *  *  0  1  A338
339  1  -1  -1  0  SWA  *  *  *  *  0  2  A339
340  1  -1  -1  0  *  *  *  *  *  0  2  A340
341  1  -1  -1  0  HNY  *  *  *  *  0  1  A341
342  1  -1  -1  0  HNY  *  *  *  *  0  2  A342
343  1  -1  -1  0  *  *  *  *  *  0  2  A343
344  1  -1  -1  0  *  *  *  *  *  0  2  A344
345  1  -1  -1  0  WUZ  *  *  *  *  0  1  A345
346  1  -1  -1  0  WUZ  *  *  *  *  0  2  A346
347  1  -1  -1  0  TXN  *  *  *  *  0  1  A347
348  1  -1  -1  0  TXN  *  *  *  *  0  2  A348
349  1  -1  -1  0  BFU  *  *  *  *  0  2  A349
350  1  -1  -1  0  *  *  *  *  *  0  2  A350
351  1  -1  -1  0  *  *  *  *  *  0  2  A351
352  1  -1  -1  0  *  *  *  *  *  0  2  A352
353  1  -1  -1  0  *  *  *  *  *  0  2  A353
354  1  -1  -1  0  YNT  *  *  *  *  0  1  A354
355  1  -1  -1  0  YNT  *  *  *  *  0  2  A355
356  1  -1  -1  0  *  *  *  *  *  0  2  A356
357  1  -1  -1  0  *  *  *  *  *  0  2  A357
358  1  -1  -1  0  *  *  *  *  *  0  2  A358
359  1  -1  -1  0  KOW  *  *  *  *  0  1  A359
360  1  -1  -1  0  KOW  *  *  *  *  0  2  A360
361  1  -1  -1  0  JIU  *  *  *  *  0  2  A361
362  1  -1  -1  0  *  *  *  *  *  0  2  A362
363  1  -1  -1  0  *  *  *  *  *  0  2  A363
364  1  -1  -1  0  HUZ  *  *  *  *  0  1  A364
