beforeDepartHour duringMinutes arrWeather depCountryCode arrCountryCode classify
2~6 1~300  * CN JP 5bffaec57ad3af4fc98e0cf6
2~6 300~600  * CN JP 5bffaec57ad3af4fc98e0cf6
2~6 600~999  * CN JP 5bffaec57ad3af4fc98e0cf6
2~6 1~300 雨 CN JP 5bffaec57ad3af4fc98e0cf6
2~6 300~600 雨 CN JP 5bffaec57ad3af4fc98e0cf6
2~6 600~999 雨 CN JP 5bffaec57ad3af4fc98e0cf6
2~6 1~300 雪 CN JP 5bffaec57ad3af4fc98e0cf6
2~6 300~600 雪 CN JP 5bffaec57ad3af4fc98e0cf6
2~6 600~999 雪 CN JP 5bffaec57ad3af4fc98e0cf6
6~144 1~300  * CN JP 5bffaec57ad3af4fc98e0cf6
6~144 300~600  * CN JP 5bffaec57ad3af4fc98e0cf6
6~144 600~999  * CN JP 5bffaec57ad3af4fc98e0cf6
6~144 1~300 雨 CN JP 5bffaec57ad3af4fc98e0cf6
6~144 300~600 雨 CN JP 5bffaec57ad3af4fc98e0cf6
6~144 600~999 雨 CN JP 5bffaec57ad3af4fc98e0cf6
6~144 1~300 雪 CN JP 5bffaec57ad3af4fc98e0cf6
6~144 300~600 雪 CN JP 5bffaec57ad3af4fc98e0cf6
6~144 600~999 雪 CN JP 5bffaec57ad3af4fc98e0cf6
144~99999 1~300  * CN JP 5bffaec57ad3af4fc98e0cf6
144~99999 300~600  * CN JP 5bffaec57ad3af4fc98e0cf6
144~99999 600~999  * CN JP 5bffaec57ad3af4fc98e0cf6
144~99999 1~300 雨 CN JP 5bffaec57ad3af4fc98e0cf6
144~99999 300~600 雨 CN JP 5bffaec57ad3af4fc98e0cf6
144~99999 600~999 雨 CN JP 5bffaec57ad3af4fc98e0cf6
144~99999 1~300 雪 CN JP 5bffaec57ad3af4fc98e0cf6
144~99999 300~600 雪 CN JP 5bffaec57ad3af4fc98e0cf6
144~99999 600~999 雪 CN JP 5bffaec57ad3af4fc98e0cf6
2~6 1~300  * CN KR 5bffaec57ad3af4fc98e0cf6
2~6 300~600  * CN KR 5bffaec57ad3af4fc98e0cf6
2~6 600~999  * CN KR 5bffaec57ad3af4fc98e0cf6
2~6 1~300 雨 CN KR 5bffaec57ad3af4fc98e0cf6
2~6 300~600 雨 CN KR 5bffaec57ad3af4fc98e0cf6
2~6 600~999 雨 CN KR 5bffaec57ad3af4fc98e0cf6
2~6 1~300 雪 CN KR 5bffaec57ad3af4fc98e0cf6
2~6 300~600 雪 CN KR 5bffaec57ad3af4fc98e0cf6
2~6 600~999 雪 CN KR 5bffaec57ad3af4fc98e0cf6
6~144 1~300  * CN KR 5bffaec57ad3af4fc98e0cf6
6~144 300~600  * CN KR 5bffaec57ad3af4fc98e0cf6
6~144 600~999  * CN KR 5bffaec57ad3af4fc98e0cf6
6~144 1~300 雨 CN KR 5bffaec57ad3af4fc98e0cf6
6~144 300~600 雨 CN KR 5bffaec57ad3af4fc98e0cf6
6~144 600~999 雨 CN KR 5bffaec57ad3af4fc98e0cf6
6~144 1~300 雪 CN KR 5bffaec57ad3af4fc98e0cf6
6~144 300~600 雪 CN KR 5bffaec57ad3af4fc98e0cf6
6~144 600~999 雪 CN KR 5bffaec57ad3af4fc98e0cf6
144~99999 1~300  * CN KR 5bffaec57ad3af4fc98e0cf6
144~99999 300~600  * CN KR 5bffaec57ad3af4fc98e0cf6
144~99999 600~999  * CN KR 5bffaec57ad3af4fc98e0cf6
144~99999 1~300 雨 CN KR 5bffaec57ad3af4fc98e0cf6
144~99999 300~600 雨 CN KR 5bffaec57ad3af4fc98e0cf6
144~99999 600~999 雨 CN KR 5bffaec57ad3af4fc98e0cf6
144~99999 1~300 雪 CN KR 5bffaec57ad3af4fc98e0cf6
144~99999 300~600 雪 CN KR 5bffaec57ad3af4fc98e0cf6
144~99999 600~999 雪 CN KR 5bffaec57ad3af4fc98e0cf6
2~6 1~300  * CN US 5bffaec57ad3af4fc98e0cf6
2~6 300~600  * CN US 5bffaec57ad3af4fc98e0cf6
2~6 600~999  * CN US 5bffaec57ad3af4fc98e0cf6
2~6 1~300 雨 CN US 5bffaec57ad3af4fc98e0cf6
2~6 300~600 雨 CN US 5bffaec57ad3af4fc98e0cf6
2~6 600~999 雨 CN US 5bffaec57ad3af4fc98e0cf6
2~6 1~300 雪 CN US 5bffaec57ad3af4fc98e0cf6
2~6 300~600 雪 CN US 5bffaec57ad3af4fc98e0cf6
2~6 600~999 雪 CN US 5bffaec57ad3af4fc98e0cf6
6~144 1~300  * CN US 5bffaec57ad3af4fc98e0cf6
6~144 300~600  * CN US 5bffaec57ad3af4fc98e0cf6
6~144 600~999  * CN US 5bffaec57ad3af4fc98e0cf6
6~144 1~300 雨 CN US 5bffaec57ad3af4fc98e0cf6
6~144 300~600 雨 CN US 5bffaec57ad3af4fc98e0cf6
6~144 600~999 雨 CN US 5bffaec57ad3af4fc98e0cf6
6~144 1~300 雪 CN US 5bffaec57ad3af4fc98e0cf6
6~144 300~600 雪 CN US 5bffaec57ad3af4fc98e0cf6
6~144 600~999 雪 CN US 5bffaec57ad3af4fc98e0cf6
144~99999 1~300  * CN US 5bffaec57ad3af4fc98e0cf6
144~99999 300~600  * CN US 5bffaec57ad3af4fc98e0cf6
144~99999 600~999  * CN US 5bffaec57ad3af4fc98e0cf6
144~99999 1~300 雨 CN US 5bffaec57ad3af4fc98e0cf6
144~99999 300~600 雨 CN US 5bffaec57ad3af4fc98e0cf6
144~99999 600~999 雨 CN US 5bffaec57ad3af4fc98e0cf6
144~99999 1~300 雪 CN US 5bffaec57ad3af4fc98e0cf6
144~99999 300~600 雪 CN US 5bffaec57ad3af4fc98e0cf6
144~99999 600~999 雪 CN US 5bffaec57ad3af4fc98e0cf6
2~6 0~1 雨 CN JP 5bffaec57ad3af4fc98e0cf7
2~6 0~1 雨 CN KR 5bffaec57ad3af4fc98e0cf7
2~6 0~1 雨 CN US 5bffaec57ad3af4fc98e0cf7
2~6 0~1 雨 CN  * 5bffaec57ad3af4fc98e0cf7
2~6 0~1 雨 CN CN 5bffaec57ad3af4fc98e0cf7
2~6 1~300 雨 CN JP 5bffaec57ad3af4fc98e0cf7
2~6 1~300 雨 CN KR 5bffaec57ad3af4fc98e0cf7
2~6 1~300 雨 CN US 5bffaec57ad3af4fc98e0cf7
2~6 1~300 雨 CN  * 5bffaec57ad3af4fc98e0cf7
2~6 1~300 雨 CN CN 5bffaec57ad3af4fc98e0cf7
2~6 300~600 雨 CN JP 5bffaec57ad3af4fc98e0cf7
2~6 300~600 雨 CN KR 5bffaec57ad3af4fc98e0cf7
2~6 300~600 雨 CN US 5bffaec57ad3af4fc98e0cf7
2~6 300~600 雨 CN  * 5bffaec57ad3af4fc98e0cf7
2~6 300~600 雨 CN CN 5bffaec57ad3af4fc98e0cf7
2~6 0~1 雨  * JP 5bffaec57ad3af4fc98e0cf7
2~6 0~1 雨  * KR 5bffaec57ad3af4fc98e0cf7
2~6 0~1 雨  * US 5bffaec57ad3af4fc98e0cf7
2~6 0~1 雨  *  * 5bffaec57ad3af4fc98e0cf7
2~6 0~1 雨  * CN 5bffaec57ad3af4fc98e0cf7
2~6 1~300 雨  * JP 5bffaec57ad3af4fc98e0cf7
2~6 1~300 雨  * KR 5bffaec57ad3af4fc98e0cf7
2~6 1~300 雨  * US 5bffaec57ad3af4fc98e0cf7
2~6 1~300 雨  *  * 5bffaec57ad3af4fc98e0cf7
2~6 1~300 雨  * CN 5bffaec57ad3af4fc98e0cf7
2~6 300~600 雨  * JP 5bffaec57ad3af4fc98e0cf7
2~6 300~600 雨  * KR 5bffaec57ad3af4fc98e0cf7
2~6 300~600 雨  * US 5bffaec57ad3af4fc98e0cf7
2~6 300~600 雨  *  * 5bffaec57ad3af4fc98e0cf7
2~6 300~600 雨  * CN 5bffaec57ad3af4fc98e0cf7
6~144 0~1 雨 CN JP 5bffaec57ad3af4fc98e0cf7
6~144 0~1 雨 CN KR 5bffaec57ad3af4fc98e0cf7
6~144 0~1 雨 CN US 5bffaec57ad3af4fc98e0cf7
6~144 0~1 雨 CN  * 5bffaec57ad3af4fc98e0cf7
6~144 0~1 雨 CN CN 5bffaec57ad3af4fc98e0cf7
6~144 1~300 雨 CN JP 5bffaec57ad3af4fc98e0cf7
6~144 1~300 雨 CN KR 5bffaec57ad3af4fc98e0cf7
6~144 1~300 雨 CN US 5bffaec57ad3af4fc98e0cf7
6~144 1~300 雨 CN  * 5bffaec57ad3af4fc98e0cf7
6~144 1~300 雨 CN CN 5bffaec57ad3af4fc98e0cf7
6~144 300~600 雨 CN JP 5bffaec57ad3af4fc98e0cf7
6~144 300~600 雨 CN KR 5bffaec57ad3af4fc98e0cf7
6~144 300~600 雨 CN US 5bffaec57ad3af4fc98e0cf7
6~144 300~600 雨 CN  * 5bffaec57ad3af4fc98e0cf7
6~144 300~600 雨 CN CN 5bffaec57ad3af4fc98e0cf7
6~144 0~1 雨  * JP 5bffaec57ad3af4fc98e0cf7
6~144 0~1 雨  * KR 5bffaec57ad3af4fc98e0cf7
6~144 0~1 雨  * US 5bffaec57ad3af4fc98e0cf7
6~144 0~1 雨  *  * 5bffaec57ad3af4fc98e0cf7
6~144 0~1 雨  * CN 5bffaec57ad3af4fc98e0cf7
6~144 1~300 雨  * JP 5bffaec57ad3af4fc98e0cf7
6~144 1~300 雨  * KR 5bffaec57ad3af4fc98e0cf7
6~144 1~300 雨  * US 5bffaec57ad3af4fc98e0cf7
6~144 1~300 雨  *  * 5bffaec57ad3af4fc98e0cf7
6~144 1~300 雨  * CN 5bffaec57ad3af4fc98e0cf7
6~144 300~600 雨  * JP 5bffaec57ad3af4fc98e0cf7
6~144 300~600 雨  * KR 5bffaec57ad3af4fc98e0cf7
6~144 300~600 雨  * US 5bffaec57ad3af4fc98e0cf7
6~144 300~600 雨  *  * 5bffaec57ad3af4fc98e0cf7
6~144 300~600 雨  * CN 5bffaec57ad3af4fc98e0cf7
144~99999 0~1 雨 CN JP 5bffaec57ad3af4fc98e0cf7
144~99999 0~1 雨 CN KR 5bffaec57ad3af4fc98e0cf7
144~99999 0~1 雨 CN US 5bffaec57ad3af4fc98e0cf7
144~99999 0~1 雨 CN  * 5bffaec57ad3af4fc98e0cf7
144~99999 0~1 雨 CN CN 5bffaec57ad3af4fc98e0cf7
144~99999 1~300 雨 CN JP 5bffaec57ad3af4fc98e0cf7
144~99999 1~300 雨 CN KR 5bffaec57ad3af4fc98e0cf7
144~99999 1~300 雨 CN US 5bffaec57ad3af4fc98e0cf7
144~99999 1~300 雨 CN  * 5bffaec57ad3af4fc98e0cf7
144~99999 1~300 雨 CN CN 5bffaec57ad3af4fc98e0cf7
144~99999 300~600 雨 CN JP 5bffaec57ad3af4fc98e0cf7
144~99999 300~600 雨 CN KR 5bffaec57ad3af4fc98e0cf7
144~99999 300~600 雨 CN US 5bffaec57ad3af4fc98e0cf7
144~99999 300~600 雨 CN  * 5bffaec57ad3af4fc98e0cf7
144~99999 300~600 雨 CN CN 5bffaec57ad3af4fc98e0cf7
144~99999 0~1 雨  * JP 5bffaec57ad3af4fc98e0cf7
144~99999 0~1 雨  * KR 5bffaec57ad3af4fc98e0cf7
144~99999 0~1 雨  * US 5bffaec57ad3af4fc98e0cf7
144~99999 0~1 雨  *  * 5bffaec57ad3af4fc98e0cf7
144~99999 0~1 雨  * CN 5bffaec57ad3af4fc98e0cf7
144~99999 1~300 雨  * JP 5bffaec57ad3af4fc98e0cf7
144~99999 1~300 雨  * KR 5bffaec57ad3af4fc98e0cf7
144~99999 1~300 雨  * US 5bffaec57ad3af4fc98e0cf7
144~99999 1~300 雨  *  * 5bffaec57ad3af4fc98e0cf7
144~99999 1~300 雨  * CN 5bffaec57ad3af4fc98e0cf7
144~99999 300~600 雨  * JP 5bffaec57ad3af4fc98e0cf7
144~99999 300~600 雨  * KR 5bffaec57ad3af4fc98e0cf7
144~99999 300~600 雨  * US 5bffaec57ad3af4fc98e0cf7
144~99999 300~600 雨  *  * 5bffaec57ad3af4fc98e0cf7
144~99999 300~600 雨  * CN 5bffaec57ad3af4fc98e0cf7
6~144 0~1 雪 CN CN 5bffaec57ad3af4fc98e0cf8
6~144 1~300 雪 CN CN 5bffaec57ad3af4fc98e0cf8
6~144 300~600 雪 CN CN 5bffaec57ad3af4fc98e0cf8
144~99999 0~1 雪 CN CN 5bffaec57ad3af4fc98e0cf8
144~99999 1~300 雪 CN CN 5bffaec57ad3af4fc98e0cf8
144~99999 300~600 雪 CN CN 5bffaec57ad3af4fc98e0cf8
2~6 1~300  * CN CN 5bffaec57ad3af4fc98e0cf9
2~6 300~600  * CN CN 5bffaec57ad3af4fc98e0cf9
2~6 600~999  * CN CN 5bffaec57ad3af4fc98e0cf9
2~6 1~300 雨 CN CN 5bffaec57ad3af4fc98e0cf9
2~6 300~600 雨 CN CN 5bffaec57ad3af4fc98e0cf9
2~6 600~999 雨 CN CN 5bffaec57ad3af4fc98e0cf9
2~6 1~300 雪 CN CN 5bffaec57ad3af4fc98e0cf9
2~6 300~600 雪 CN CN 5bffaec57ad3af4fc98e0cf9
2~6 600~999 雪 CN CN 5bffaec57ad3af4fc98e0cf9
6~144 1~300  * CN CN 5bffaec57ad3af4fc98e0cf9
6~144 300~600  * CN CN 5bffaec57ad3af4fc98e0cf9
