id locations airCompanies airline bct fn positions classify
1 -1 -1 -1 -1 -1 -1 5bea9144b08018275e7efe74
2 -1 -1 -1 -1 -1 -1 5bd3fac0b0801832501753f9
3 -1 -1 -1 -1 -1 -1 5be3f14f38b7e628c17e65cf
4 -1 -1 -1 -1 -1 -1 5bd80266b080180793844c73
5 -1 -1 -1 -1 -1 -1 5b90c359b080187ce0be6a7f
6 -1 -1 -1 -1 -1 -1 5baf3c6db0801829fc7c94cc
7 -1 -1 -1 -1 -1 -1 5b9f80bbb0801877bf8af0b1
8 -1 -1 -1 -1 -1 -1 5ba31359b08018761f51afad
9 -1 -1 -1 -1 -1 -1 5bab21f8b0801822915796da
10 -1 -1 -1 -1 -1 -1 5baf5107b0801829fc7c94e8
11 -1 -1 -1 -1 -1 -1 5bdbc8d9b080180407e48b20
12 -1 -1 -1 -1 -1 -1 5bd427bab08018325117546e
13 -1 -1 -1 -1 -1 -1 5be3dab4b080183a32ab13c0
14 -1 -1 -1 -1 -1 -1 5bbc8756b080182637c3969e
15 -1 -1 -1 -1 -1 -1 5baf151eb0801847189a6576
16 -1 -1 -1 -1 -1 -1 5bd82e2038b7e621eb705a85
17 -1 -1 -1 -1 -1 -1 5bebec2bb0801827617eff31
18 -1 -1 -1 -1 -1 -1 5be56710b08018275e7efe42
19 -1 -1 -1 -1 -1 -1 5ba1f479b08018761e51aeb9
20 -1 -1 -1 -1 -1 -1 5bbdab15b08018263ac39779
21 -1 -1 -1 -1 -1 -1 5bbd9b79b08018263ac3975f
22 -1 -1 -1 -1 -1 -1 5bd67a01b080183250175436
23 -1 -1 -1 -1 -1 -1 5b98af1cb0801821054fdade
24 -1 -1 -1 -1 -1 -1 5be4066ab0801827607efe35
