ID flightNo intDepDate time dayInterval holiday tid price rate
1 CZ324 20160205 13 7 weekend 2 1430 high
2 CZ324 20160203 13 4 weekday 0 1530 high
3 CZ324 20160203 13 4 weekday 0 1530 high
4 CZ323 20160201 21 5 weekday 0 1530 high
5 CZ323 20160201 21 5 weekday 0 1530 high
6 CZ324 20160201 13 5 weekday 0 1530 high
7 CZ323 20160202 21 5 weekday 3 1530 high
8 CZ324 20160202 13 5 weekday 3 1430 high
9 CZ324 20160202 13 5 weekday 3 1430 high
10 CZ323 20160205 21 7 weekend 2 1530 high
11 CZ323 20160205 21 7 weekend 2 1530 high
12 CZ324 20160205 13 7 weekend 2 1430 high
13 CZ323 20160203 21 4 weekday 0 1530 high
14 CZ323 20160203 21 4 weekday 0 1530 high
15 CZ324 20160205 13 8 weekend 1 1430 high
16 CZ323 20160202 21 5 weekday 3 1530 high
17 CZ324 20151231 13 1 weekday 0 1720 high
18 CZ323 20160131 21 4 weekend 0 1910 high
19 CZ323 20160131 21 4 weekend 0 1910 high
20 CZ324 20160131 13 4 weekend 0 1910 high
21 CZ324 20160131 13 4 weekend 0 1910 high
22 CZ324 20160205 13 9 weekend 1 1430 high
23 CZ323 20160205 21 8 weekend 1 1530 high
24 CZ324 20160201 13 4 weekday 3 1720 high
25 CZ323 20160101 21 2 holiday 0 1450 high
26 CZ324 20160101 13 2 holiday 0 760 low
27 CZ323 20160130 21 3 weekend 0 1910 high
28 CZ324 20160130 13 3 weekend 0 1910 high
29 CZ324 20160130 13 3 weekend 0 1910 high
30 CZ323 20160205 21 9 weekend 1 1530 high
31 CZ324 20160205 13 9 weekend 1 1430 high
32 CZ323 20160131 21 3 weekend 3 1910 high
33 CZ323 20160131 21 3 weekend 3 1910 high
34 CZ324 20160131 13 3 weekend 3 1910 high
35 CZ324 20160131 13 3 weekend 3 1910 high
36 CZ323 20160201 21 4 weekday 3 1530 high
37 CZ323 20160201 21 4 weekday 3 1530 high
38 CZ324 20160201 13 4 weekday 3 1720 high
39 CZ323 20160204 21 6 weekday 2 1910 high
40 CZ324 20160204 13 6 weekday 2 1910 high
41 CZ324 20160204 13 6 weekday 2 1910 high
42 CZ323 20160201 21 2 weekday 0 1910 high
43 CZ323 20160201 21 2 weekday 0 1910 high
44 CZ324 20160201 13 2 weekday 0 1720 high
45 CZ324 20160201 13 2 weekday 0 1720 high
46 CZ323 20160202 21 3 weekday 0 1530 high
47 CZ323 20160202 21 3 weekday 0 1530 high
48 CZ324 20160202 13 3 weekday 0 1430 high
49 CZ324 20160202 13 3 weekday 0 1430 high
50 CZ324 20160128 13 1 weekday 0 1910 high
51 CZ324 20160128 13 1 weekday 0 1910 high
52 CZ323 20160129 21 2 weekend 0 1910 high
53 CZ323 20160129 21 2 weekend 0 1910 high
54 CZ324 20160129 13 2 weekend 0 1910 high
55 CZ324 20160129 13 2 weekend 0 1910 high
56 CZ323 20160130 21 3 weekend 0 1910 high
57 CZ323 20160205 21 9 weekend 1 1530 high
58 CZ323 20160204 21 7 weekday 1 1910 high
