id locations airCompanies airline bct fn positions classify
1 DYG AC PEK-LIS -1 JD460 -1 5be00bde4f3d78d1f740c7f9
2 DYG AC PEK-LIS -1 JD459 -1 5be00bde4f3d78d1f740c7f9
3 DYG MU PEK-LIS -1 JD460 -1 5be00bde4f3d78d1f740c7f9
4 DYG MU PEK-LIS -1 JD459 -1 5be00bde4f3d78d1f740c7f9
5 DYG HA PEK-LIS -1 JD460 -1 5be00bde4f3d78d1f740c7f9
6 DYG HA PEK-LIS -1 JD459 -1 5be00bde4f3d78d1f740c7f9
7 DYG JD PEK-LIS -1 JD460 -1 5be00bde4f3d78d1f740c7f9
8 DYG JD PEK-LIS -1 JD459 -1 5be00bde4f3d78d1f740c7f9
9 DYG OZ PEK-LIS -1 JD460 -1 5be00bde4f3d78d1f740c7f9
10 DYG OZ PEK-LIS -1 JD459 -1 5be00bde4f3d78d1f740c7f9
11 DYG GS PEK-LIS -1 JD460 -1 5be00bde4f3d78d1f740c7f9
12 DYG GS PEK-LIS -1 JD459 -1 5be00bde4f3d78d1f740c7f9
13 HAK AC PEK-LIS -1 JD460 -1 5b7e24e44f3d78d1f73c3073
14 HAK AC PEK-LIS -1 JD459 -1 5b7e24e44f3d78d1f73c3073
15 HAK MU PEK-LIS -1 JD460 -1 5b7e24e44f3d78d1f73c3073
16 HAK MU PEK-LIS -1 JD459 -1 5b7e24e44f3d78d1f73c3073
17 HAK HA PEK-LIS -1 JD460 -1 5b7e24e44f3d78d1f73c3073
18 HAK HA PEK-LIS -1 JD459 -1 5b7e24e44f3d78d1f73c3073
19 HAK JD PEK-LIS -1 JD460 -1 5b7e24e44f3d78d1f73c3073
20 HAK JD PEK-LIS -1 JD459 -1 5b7e24e44f3d78d1f73c3073
21 HAK OZ PEK-LIS -1 JD460 -1 5b7e24e44f3d78d1f73c3073
22 HAK OZ PEK-LIS -1 JD459 -1 5b7e24e44f3d78d1f73c3073
23 HAK GS PEK-LIS -1 JD460 -1 5b7e24e44f3d78d1f73c3073
24 HAK GS PEK-LIS -1 JD459 -1 5b7e24e44f3d78d1f73c3073
25 SYX AC PEK-LIS -1 JD460 -1 5b7e24e44f3d78d1f73c3073
26 SYX AC PEK-LIS -1 JD459 -1 5b7e24e44f3d78d1f73c3073
27 SYX MU PEK-LIS -1 JD460 -1 5b7e24e44f3d78d1f73c3073
28 SYX MU PEK-LIS -1 JD459 -1 5b7e24e44f3d78d1f73c3073
29 SYX HA PEK-LIS -1 JD460 -1 5b7e24e44f3d78d1f73c3073
30 SYX HA PEK-LIS -1 JD459 -1 5b7e24e44f3d78d1f73c3073
31 SYX JD PEK-LIS -1 JD460 -1 5b7e24e44f3d78d1f73c3073
32 SYX JD PEK-LIS -1 JD459 -1 5b7e24e44f3d78d1f73c3073
33 SYX OZ PEK-LIS -1 JD460 -1 5b7e24e44f3d78d1f73c3073
34 SYX OZ PEK-LIS -1 JD459 -1 5b7e24e44f3d78d1f73c3073
35 SYX GS PEK-LIS -1 JD460 -1 5b7e24e44f3d78d1f73c3073
36 SYX GS PEK-LIS -1 JD459 -1 5b7e24e44f3d78d1f73c3073
37 BAR AC PEK-LIS -1 JD460 -1 5b7e24e44f3d78d1f73c3073
38 BAR AC PEK-LIS -1 JD459 -1 5b7e24e44f3d78d1f73c3073
39 BAR MU PEK-LIS -1 JD460 -1 5b7e24e44f3d78d1f73c3073
40 BAR MU PEK-LIS -1 JD459 -1 5b7e24e44f3d78d1f73c3073
41 BAR HA PEK-LIS -1 JD460 -1 5b7e24e44f3d78d1f73c3073
